,Symbol,Name,MarketCap,Sector,Industry,L2,risk_score,close_price,return_2019,return_2018,return_2017,return_2016,return_2015,return_2014,return_2013,return_2012,return_2011,return_2010
0,TXG,"10x Genomics, Inc.",8042693253.02,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Mid Cap,,98.48,5.511528586815107,-0.018440927192043932,-0.4261664367573129,0.6500000227065306,-0.4623426213522618,-0.14423957385158426,0.36925001144409175,-0.11111111111111116,0.34730532766991673,0.5181818875399502
1,YI,"111, Inc.",134211865.71,Health Care,Medical/Nursing Services,Micro Cap,0.932192092389978,6.81,,,,,,,,,,
2,PIH,"1347 Property Insurance Holdings, Inc.",34282000.0,Finance,Property-Casualty Insurers,Micro Cap,0.4939739664227555,5.39,,,,,,,,,,
3,PIHPP,"1347 Property Insurance Holdings, Inc.",18697000.0,Finance,Property-Casualty Insurers,Micro Cap,0.20548476111785416,26.688,,,,,,,,,,
4,TURN,180 Degree Capital Corp.,67222573.92,Finance,Finance/Investors Services,Micro Cap,0.23165668831294273,2.2055,0.22857148306710373,-0.11167513980465893,0.42753625754873403,-0.3727272884904842,-0.254237284026109,-0.010067104428777118,-0.09696967814141588,-0.046242798863198153,-0.21004567403107888,-0.04157550330055815
5,FLWS,"1-800-FLOWERS.COM, Inc.",973377252.65,Consumer Services,Other Specialty Stores,Small Cap,0.39510111244854296,14.79,0.1856092021855129,0.14299063179855054,0.0,0.46978015122156447,-0.11650480436597666,0.5231053610953047,0.47411436919512484,0.668181816704017,-0.18215613349951143,0.015094324684347349
6,BCOW,"1895 Bancorp of Wisconsin, Inc.",52151183.838,Finance,Banks,Micro Cap,0.17697112713026114,11.6,,,,,,,,,,
7,FCCY,1st Constitution Bancorp (NJ),222891954.12,Finance,Savings Institutions,Micro Cap,0.22868414043798996,21.5,0.12865200979459446,0.1025476682304034,-0.012449268420919979,0.46238727955630354,0.24090902101584932,-0.009999919129144552,0.31849322801362434,0.3177651302038067,-0.18457952318366233,0.4380797951450659
8,SRCE,1st Source Corporation,1304262694.28,Finance,Major Banks,Small Cap,0.21028862827982794,49.1,0.31620811757892575,-0.16895738041081243,0.12470328717242629,0.4790044660930395,-0.08003366729234362,0.10016263174603357,0.4850851797132383,-0.10226130782539189,0.2898109883538984,0.3027984881776735
9,VNET,"21Vianet Group, Inc.",801229842.0,Technology,"Computer Software: Programming, Data Processing",Small Cap,0.5200015550621737,9.7897,,,,,,,,,,
10,TWOU,"2U, Inc.",1449812441.68,Technology,Computer Software: Prepackaged Software,Small Cap,1.1776426041281562,19.065,,,,,,,,,,
11,QFIN,"360 Finance, Inc.",677823345.0,Finance,Finance: Consumer Services,Small Cap,0.7277167605803493,9.07,,,,,,,,,,
12,KRKR,36Kr Holdings Inc.,10941744.0,Miscellaneous,Business Services,Micro Cap,,7.24,,,,,,,,,,
13,JOBS,"51job, Inc.",3576281486.77,Technology,Diversified Commercial Services,Mid Cap,0.4025144120174232,78.825,0.35970537144699044,0.02612983060737628,0.800295853480409,0.14731840758526538,-0.17824266838563918,-0.07958927414882055,0.6663101930669284,0.11468768552195008,-0.14842642382316784,1.7699661472449488
14,ETNB,"89bio, Inc.",344451826.29,Health Care,Major Pharmaceuticals,Small Cap,,26.25,,,,,,,,,,
15,JFK,8i Enterprises Acquisition Corp,75335647.0,Finance,Business Services,Micro Cap,,10.19,,,,,,,,,,
17,JFKKU,8i Enterprises Acquisition Corp,53600000.0,Finance,Business Services,Micro Cap,,10.84,,,,,,,,,,
18,JFKKW,8i Enterprises Acquisition Corp,2127500.0,Finance,Business Services,Micro Cap,,0.37,,,,,,,,,,
19,EGHT,8x8 Inc,2068662823.68,Technology,EDP Services,Mid Cap,0.3297722090918296,19.575,0.01441232307862128,0.2794326544299659,-0.013986000461365,0.24890833440569637,0.25,-0.09753692692862548,0.37533868037063045,1.3280756898494759,0.3319327411203108,0.586666742960612
20,JFU,9F Inc.,96209000.0,Finance,Finance: Consumer Services,Micro Cap,,9.5,,,,,,,,,,
21,AAON,"AAON, Inc.",2754920083.28,Capital Goods,Industrial Machinery/Components,Mid Cap,0.29674979388244693,53.41,0.41875389875584856,-0.0358687495260932,0.11844124392066901,0.43468004735614496,0.046483168063649716,0.059766076365289855,1.3112449648742461,0.036582744000147605,0.10197617133123571,0.46908921571852136
22,ABEO,Abeona Therapeutics Inc.,212184843.6,Health Care,Major Pharmaceuticals,Micro Cap,1.188088137397555,2.505,-0.5420168008299906,-0.5495268331455067,2.2680413800277193,0.4434523976359377,-0.026087000389555248,-0.7239999961853028,0.04166666666666674,-0.8333333333333334,-0.4193548387096774,-0.24620060790273557
23,ABMD,"ABIOMED, Inc.",8185717978.24,Health Care,Medical/Dental Instruments,Mid Cap,0.548946008778741,181.205,-0.4751723115515659,0.7343791803715682,0.6632055658017333,0.24811698968493667,1.3720440231684217,0.4233358900174551,0.9895833784211736,-0.2723335094730792,0.9219562927373381,0.10080185115513673
24,AXAS,Abraxas Petroleum Corporation,54713044.0107,Energy,Oil & Gas Production,Micro Cap,0.8385297691275307,0.2847,-0.6788990978700582,-0.5569105624080974,-0.04280151671328203,1.4245283697881357,-0.6394558087928446,-0.0981594890119386,0.4885844316373391,-0.3363636094348157,-0.27789938110295453,1.3802084759421058
25,ACIU,AC Immune SA,659291918.0,Health Care,Major Pharmaceuticals,Small Cap,1.2036558163312572,8.62,,,,,,,,,,
26,ACIA,"Acacia Communications, Inc.",2833482645.22,Technology,Semiconductors,Mid Cap,0.4207268935582686,68.49,,,,,,,,,,
27,ACTG,Acacia Research Corporation,139450954.85,Miscellaneous,Multi-Sector Companies,Micro Cap,0.3367065007727487,2.59,-0.10738252724652309,-0.26419756080733114,-0.37692304757925177,0.515151528624346,-0.7331362145868189,0.20116681273440884,-0.4226629303787949,-0.2971788838084849,0.40747875505363074,1.847420703068328
28,ACHC,"Acadia Healthcare Company, Inc.",2965309772.76,Health Care,Medical Specialities,Mid Cap,0.32366242571572934,32.51,0.29210433308673567,-0.21207483166172902,-0.014199318056564936,-0.47006085559886535,0.020421500060389564,0.29326001936283186,1.0269807733542993,1.3420260537694384,0.49251504838862226,0.47787607445284785
29,ACAD,ACADIA Pharmaceuticals Inc.,6689325814.66,Health Care,Major Pharmaceuticals,Mid Cap,0.7092771517058133,39.72,1.6456399862368931,-0.4629691216035766,0.044036076665891155,-0.19102387326260073,0.12283469372846945,0.2705082149178173,4.3741933889451925,3.3055554727713297,-0.09999999999999998,-0.09090909090909094
30,ACAM,Acamar Partners Acquisition Corp.,383494386.08,Finance,Business Services,Small Cap,,10.09,,,,,,,,,,
33,ACST,"Acasti Pharma, Inc.",69314475.363,Health Care,Major Pharmaceuticals,Micro Cap,1.3705225126391876,0.622,,,,,,,,,,
34,AXDX,"Accelerate Diagnostics, Inc.",945357808.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Small Cap,0.471684985677059,16.54,0.4695651842200237,-0.5610687150716791,0.26265063917780496,-0.03443461046996843,0.11985404757955087,0.5729508880388681,2.0272950804251493,2.330578580790793,0.2222222489807606,0.1785714767214408
35,XLRN,Acceleron Pharma Inc.,2980013936.2,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid Cap,0.42334563914834106,52.025,,,,,,,,,,
36,ARAY,Accuray Incorporated,292000724.08,Health Care,Medical/Dental Instruments,Micro Cap,0.47971774862679245,3.86,-0.17302056825144163,-0.2069767594015095,-0.06521733046028577,-0.3185185326470269,-0.1059602874866944,-0.13218386709682128,0.3530326658675875,0.5200945152116125,-0.3733333305076316,0.20320852751414087
37,ACRX,"AcelRx Pharmaceuticals, Inc.",151188701.9,Health Care,Major Pharmaceuticals,Micro Cap,0.6233299646758831,1.7252,,,,,,,,,,
38,ACER,Acer Therapeutics Inc.,43712112.08,Health Care,Major Pharmaceuticals,Micro Cap,1.6789261317538076,4.22,-0.8006958219871216,0.45270760181006686,0.4452174790495991,-0.6678700397999906,-0.5190972328186035,-0.6043956176625138,0.5964912816097863,-0.6935483870967742,-0.36734693877551017,-0.22631576462003256
39,ACHV,"Achieve Life Sciences, Inc. ",15967509.2376,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Micro Cap,1.199093403356393,0.5662,-0.5619835085282914,-0.9097014871199163,-0.7563636432994496,-0.5867768784531464,-0.47161568349139515,-0.7254196782288389,-0.36432922986926664,0.11754678944402808,-0.30077426642312965,-0.24640934077948273
40,ACHN,"Achillion Pharmaceuticals, Inc.",867167294.93,Health Care,Major Pharmaceuticals,Small Cap,0.7665161556951012,6.945,2.792452882529294,-0.44791667701469484,-0.3026634298699562,-0.6172381715438255,-0.11918367658342632,2.6897591103367455,-0.5855181225498846,0.051181148186348,0.8361445085423365,0.3344052203704535
41,ACIW,"ACI Worldwide, Inc.",4311829458.5,Technology,Computer Software: Prepackaged Software,Mid Cap,0.2767441522242846,35.5,0.3693530641552254,0.2205557998752945,0.24903584312745486,-0.15186916158567698,0.06098163299870096,-0.06907689223881919,0.487754573085482,0.5254887763792997,0.0658727354849673,0.5667638886189592
42,ACRS,"Aclaris Therapeutics, Inc.",76154714.88,Health Care,Major Pharmaceuticals,Micro Cap,1.2472569018538042,1.5,,,,,,,,,,
43,ACMR,"ACM Research, Inc.",656711215.83,Technology,Industrial Machinery/Components,Small Cap,0.7651218324821135,36.03,,,,,,,,,,
44,ACNB,ACNB Corporation,248387064.29,Finance,Major Banks,Micro Cap,0.23698325323477532,33.175,-0.009801622464250426,0.3648162888806057,-0.027246421587525993,0.5131998063348877,0.018391323897625433,0.2530573453775289,0.1666100367947303,0.23093808525881787,-0.07118710807944395,0.27887248403636034
45,ACOR,"Acorda Therapeutics, Inc.",99422509.86,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,1.1961072315488677,2.272,-0.8690629029625973,-0.2736597030511708,0.14095753369260478,-0.5605423147847612,0.04673354287567699,0.39965746109694744,0.17457763660636183,0.042785253826978176,-0.1254585490674528,0.08174600807837806
46,ACTT,Act II Global Acquisition Corp.,380625000.0,Finance,Business Services,Small Cap,,10.15,,,,,,,,,,
48,ACTTW,Act II Global Acquisition Corp.,25012500.0,Finance,Business Services,Micro Cap,0.0,0.0,,,,,,,,,,
49,ATVI,"Activision Blizzard, Inc",47048246686.8,Technology,Computer Software: Prepackaged Software,Large Cap,0.3349094018938859,58.185,0.28617813529636993,-0.2607377203035607,0.7642668393790752,-0.059574828376630196,0.9407558289694602,0.14098425362402134,0.7009676409070327,-0.12554404833842903,0.0053660057611555345,0.13498073730653437
50,ADMS,"Adamas Pharmaceuticals, Inc.",163803428.88,Health Care,Major Pharmaceuticals,Micro Cap,0.969500412326609,5.35,,,,,,,,,,
51,ADMP,Adamis Pharmaceuticals Corporation,48240782.3043,Health Care,Major Pharmaceuticals,Micro Cap,1.0975482664057834,0.688,-0.6888888941870795,-0.48863637471987176,0.3968253848113594,-0.4166666593080687,-0.12479740217264623,-0.03442876287768171,-0.47058823297023655,3.176470331036348,-0.2272727011938842,-0.312500005478368
52,AHCO,AdaptHealth Corp. ,833438697.15,Health Care,Medical/Nursing Services,Small Cap,,12.9,,,,,,,,,,
53,ADAP,Adaptimmune Therapeutics plc,375360927.56,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,1.4163393746248816,3.72,,,,,,,,,,
54,ADPT,Adaptive Biotechnologies Corporation,3507604826.18,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Mid Cap,,29.74,,,,,,,,,,
55,ADUS,Addus HomeCare Corporation,1515471924.0,Health Care,Medical/Nursing Services,Small Cap,0.2905884286364451,96.87,0.43223342891057337,0.9505746764824237,-0.007132667772947077,0.5055841152602225,-0.04079108992358815,0.08106902596763743,2.139860204685182,1.0028011846131193,-0.12926828871164764,-0.5543478272136984
56,AEY,"ADDvantage Technologies Group, Inc.",21909988.0632,Consumer Services,Office Equipment/Supplies/Services,Micro Cap,0.4474886189530578,2.12,0.7083332919412206,-0.020408143405366563,-0.16949150031021354,-0.02209942713677715,-0.2581967621585167,-0.09293680099706825,0.3517588162457701,-0.05238090480536073,-0.3312102437981749,0.5939086595442042
57,IOTS,Adesto Technologies Corporation,258422927.84,Technology,Semiconductors,Micro Cap,0.5899277669425016,8.06,,,,,,,,,,
58,ADIL,"Adial Pharmaceuticals, Inc",21874906.24,Health Care,Major Pharmaceuticals,Micro Cap,0.8630106469634954,2.08,,,,,,,,,,
60,ADMA,ADMA Biologics Inc,264559863.3,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,0.6757687128073354,4.23,,,,,,,,,,
61,ADBE,Adobe Inc.,168693241860.0,Technology,Computer Software: Prepackaged Software,Large Cap,0.2266698605505515,348.4,0.4577881433465536,0.2910294362093562,0.7021856307704941,0.09591222346897199,0.29215964765838454,0.21409478375833424,0.5891719899983661,0.33286168005094185,-0.08154646435634572,-0.16313209058692824
62,ADTN,"ADTRAN, Inc.",492611126.9,Public Utilities,Telecommunications Equipment,Small Cap,0.46334547788635616,9.66,-0.052197419795774525,-0.4314255194632496,-0.11961861222972059,0.32361044140496253,-0.193043003981061,-0.179783740758242,0.40439764409189705,-0.342002628425364,-0.1588088770317111,0.6265775065957377
63,ADRO,"Aduro Biotech, Inc.",112720242.6,Health Care,Major Pharmaceuticals,Micro Cap,0.8561252974149552,1.445,,,,,,,,,,
64,ADES,"Advanced Emissions Solutions, Inc.",206150856.64,Basic Industries,Major Chemicals,Micro Cap,0.3610855621960308,10.8637,0.0834865559684792,0.20374040617373845,0.12777857229837197,0.2941180385993236,-0.6867048378100147,-0.15950572576928967,2.212678079543604,-0.25441689620303465,1.0286737217391342,0.8295083506506304
65,AEIS,"Advanced Energy Industries, Inc.",2836923936.3,Capital Goods,Industrial Machinery/Components,Mid Cap,0.37644888133806736,71.3,0.6585137768950373,-0.3638115268296781,0.23251147683896978,0.9394261738504728,0.19113918284680387,0.03674541251794716,0.6553222241673218,0.28704576037087537,-0.213343161865166,-0.09549068883744449
66,AMD,"Advanced Micro Devices, Inc.",59438848514.54,Technology,Semiconductors,Large Cap,0.49580124659540903,49.155,1.4842905138021374,0.795719801943733,-0.09347446255323,2.9512197229160635,0.07490629346450928,-0.31007747926374374,0.6124998882412955,-0.5555555457440915,-0.3398533137033434,-0.15495867280065767
67,ADXS,"Advaxis, Inc.",60755823.04,Health Care,Major Pharmaceuticals,Micro Cap,1.3268124173356568,0.7917,-0.6989473652069147,-0.9330985913916428,-0.6033519751500536,-0.28827033883411524,0.25593002064159176,0.8891510127121791,0.13066663953993052,-0.8089171974522293,0.2661290322580645,-0.08148148148148149
68,ADVM,"Adverum Biotechnologies, Inc.",756971899.12,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,1.040261618151464,11.385,,,,,,,,,,
69,DWEQ,AdvisorShares Dorsey Wright Alpha Equal Weight ETF,33277500.0,,,Micro Cap,,26.0627,,,,,,,,,,
70,DWAW,AdvisorShares Dorsey Wright FSM All Cap World ETF,29328750.0,,,Micro Cap,,25.488,,,,,,,,,,
71,DWUS,AdvisorShares Dorsey Wright FSM US Core ETF,29351250.0,,,Micro Cap,,25.8496,,,,,,,,,,
72,DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,2440000.0,,,Micro Cap,0.15053371723650158,24.25,,,,,,,,,,
73,DWSH,AdvisorShares Dorsey Wright Short ETF,45400000.0,,,Micro Cap,0.22918287250604213,24.19,,,,,,,,,,
74,ACT,AdvisorShares Vice ETF,12228067.5,,,Micro Cap,0.12786882800415705,25.05,,,,,,,,,,
75,AEGN,Aegion Corp,687774638.72,Basic Industries,Water Supply,Small Cap,0.36872757063980655,22.37,0.3707108613689434,-0.3582383209211917,0.07299575892594867,0.22734341887164966,0.03761412319360469,-0.14984005805171263,-0.013519654672776271,0.4465450008691243,-0.42135043303864517,0.1668134256192355
76,AGLE,"Aeglea BioTherapeutics, Inc.",230145012.92,Health Care,Major Pharmaceuticals,Micro Cap,0.49626524857065635,7.3,,,,,,,,,,
77,AEHR,Aehr Test Systems,45481972.0,Capital Goods,Electrical Products,Micro Cap,0.6184004114525703,2.1288,0.41843974989044996,-0.4797048166886668,0.1244813035817296,0.2819149425230507,-0.26274508612286973,-0.17475727406231856,2.63529391470253,0.6346154904224501,-0.5666666997803569,-0.09090909090909094
78,AMTX,"Aemetis, Inc",18000970.6437,Basic Industries,Major Chemicals,Micro Cap,0.7840517933308762,0.8651,,,,,,,,,,
79,AERI,"Aerie Pharmaceuticals, Inc.",1053349863.96,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,0.6166463157430945,21.1025,,,,,,,,,,
80,AVAV,"AeroVironment, Inc.",1699495237.44,Capital Goods,Aerospace,Small Cap,0.3831219919867565,66.73,-0.09139066296802889,0.20993584638290153,1.093179277193776,-0.0895826077760411,0.08146786471025669,-0.0648592803443857,0.34038637058134924,-0.30918334142153414,0.17294071572280156,-0.07737276498978929
81,ARPO,"Aerpio Pharmaceuticals, Inc.",24953504.8592,Health Care,Major Pharmaceuticals,Micro Cap,1.3867647245036085,0.6402,,,,,,,,,,
82,AIH,Aesthetic Medical International Holdings Group Ltd.,20325000.0,Health Care,Medical Specialities,Micro Cap,,7.32,,,,,,,,,,
83,AEZS,AEterna Zentaris Inc.,21834454.9,Health Care,Major Pharmaceuticals,Micro Cap,0.8424311744453041,1.179,-0.6904761875799492,0.24576279148566815,-0.34444445621820174,-0.19642859613712937,-0.9253333330154419,-0.5652173913043479,-0.4201680672268907,-0.7424242424242424,-0.10465116279069764,1.123456790123457
84,AEMD,"Aethlon Medical, Inc.",6663292.48,Capital Goods,Biotechnology: Laboratory Analytical Instruments,Micro Cap,1.5068726614938728,3.038,-0.9614457834036307,0.46902646004436743,-0.7309523688422309,-0.3814432897020851,-0.4970370445722415,0.588235294117647,1.4285714285714284,0.3999999999999999,-0.7619047619047619,-0.30000000000000004
85,GNMX,"Aevi Genomic Medicine, Inc.",14182765.215,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Micro Cap,1.0389371631618611,0.1925,,,,,,,,,,
86,AFMD,Affimed N.V.,230208318.4,Health Care,Major Pharmaceuticals,Micro Cap,0.5793958819284906,2.81,,,,,,,,,,
87,AFYA,Afya Limited,2580147906.25,Consumer Services,Other Consumer Services,Mid Cap,,28.23,,,,,,,,,,
88,AGBA,AGBA Acquisition Limited,60347500.0,Finance,Business Services,Micro Cap,,10.1,,,,,,,,,,
90,AGBAU,AGBA Acquisition Limited,61542500.0,Finance,Business Services,Micro Cap,,10.3,,,,,,,,,,
92,AGEN,Agenus Inc.,541204219.38,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),Small Cap,0.5673348349010057,3.7445,0.7100840235116772,-0.2699386130664645,-0.20873784441358634,-0.09251103079800904,0.14357680834635578,0.5037878298699274,-0.3560975204118292,1.0499999523162842,-0.6699669935833927,0.5781250203726818
93,AGRX,"Agile Therapeutics, Inc.",196836000.0,Health Care,Major Pharmaceuticals,Micro Cap,1.791563413809384,3.36,,,,,,,,,,
94,AGYS,"Agilysys, Inc.",666697347.22,Technology,EDP Services,Small Cap,0.2917607970753273,29.795,0.77196649770094,0.16775248081526417,0.18532819883410556,0.03703702643004858,-0.20651313343592714,-0.09554597100693074,0.6630824691300632,0.05283019954345991,0.412078090171514,-0.3819977687579422
95,AGIO,"Agios Pharmaceuticals, Inc.",3614066955.84,Health Care,Major Pharmaceuticals,Mid Cap,0.4769993844899789,52.33,,,,,,,,,,
96,AGMH,AGM Group Holdings Inc.,329488656.9515,Technology,EDP Services,Small Cap,0.8321746585059566,15.18,,,,,,,,,,
97,AGNC,AGNC Investment Corp.,9871752642.25,Consumer Services,Real Estate Investment Trusts,Mid Cap,0.12388965167140666,18.275,0.13306297412204815,-0.02463571877880788,0.23726047693411645,0.1822865871949526,-0.09933662071221483,0.31006339938318894,-0.2231336665881729,0.20143139838014545,0.18593830043171056,0.321210077524104
99,AGNCN,AGNC Investment Corp.,340210.0,Consumer Services,Real Estate Investment Trusts,Micro Cap,0.052678360707653936,26.3199,,,,,,,,,,
100,AGNCO,AGNC Investment Corp.,244964000.0,Consumer Services,Real Estate Investment Trusts,Micro Cap,,25.9768,,,,,,,,,,
101,AGFS,"AgroFresh Solutions, Inc.",126885116.22,Finance,Business Services,Micro Cap,0.6821407278147581,2.2519,,,,,,,,,,
103,ALRN,"Aileron Therapeutics, Inc.",22387338.19,Health Care,Major Pharmaceuticals,Micro Cap,1.1219865142264756,0.7453,,,,,,,,,,
104,AIMT,"Aimmune Therapeutics, Inc.",2210424895.44,Health Care,Major Pharmaceuticals,Mid Cap,0.4738310510780553,32.0068,,,,,,,,,,
105,AIRT,"Air T, Inc.",63823149.7545,Transportation,Air Freight/Delivery Services,Micro Cap,0.5953893410973377,20.415,0.23367339801113363,-0.007695329429023734,0.07347822341666488,-0.060073589204110656,-0.043019176909341206,1.1361738168239026,0.4563970030823594,0.0270218503972548,-0.10502972625449192,0.05732258417003533
108,ATSG,"Air Transport Services Group, Inc",1427891910.25,Transportation,Air Freight/Delivery Services,Small Cap,0.3174282144903725,21.485,0.028496257507624634,-0.014261016958093675,0.4498746450087787,0.583333349101758,0.17757002681986056,0.058096447239059934,1.0174562820021928,-0.15042364255719298,-0.4025316793401733,1.992424159640017
109,AIRG,"Airgain, Inc.",100266814.56,Technology,Radio And Television Broadcasting And Communications Equipment,Micro Cap,0.49058811955688075,10.09,,,,,,,,,,
110,ANTE,AirNet Technology Inc.,9577681.94,Technology,Advertising,Micro Cap,0.8254644429215076,1.0798,-0.19999999999999996,-0.782608695652174,-0.5325203324524123,-0.5599284488376775,1.1835937770665619,0.26108381002957226,0.057291584917243954,-0.4710743480309173,-0.4731495147583381,-0.0825565522531756
111,AKAM,"Akamai Technologies, Inc.",15402211325.1,Miscellaneous,Business Services,Large Cap,0.21362770264282435,94.2,0.41421078362673036,-0.06088559392266657,-0.024595071717795736,0.2669579888261191,-0.16407239781718852,0.33446372779200173,0.1532632725776042,0.267348246420944,-0.3139213750747434,0.8567481828627963
112,AKTX,Akari Therapeutics Plc,40664780.38,Health Care,Major Pharmaceuticals,Micro Cap,1.5243525751734568,1.9998,,,,,,,,,,
113,SONG,Akazoo S.A.,257398272.018,Consumer Services,Broadcasting,Micro Cap,,4.99,,,,,,,,,,
114,SONGW,Akazoo S.A.,2720695.12,Consumer Services,Broadcasting,Micro Cap,,0.381,,,,,,,,,,
115,AKCA,"Akcea Therapeutics, Inc.",1718208328.1,Health Care,Major Pharmaceuticals,Small Cap,0.6692609225451845,18.32,,,,,,,,,,
116,AKBA,"Akebia Therapeutics, Inc.",955112418.48,Health Care,Major Pharmaceuticals,Small Cap,0.7443661891653856,7.76,,,,,,,,,,
117,KERN,Akerna Corp.,96878063.88,Technology,EDP Services,Micro Cap,1.6714312643320675,8.8389,,,,,,,,,,
119,AKRO,"Akero Therapeutics, Inc.",576313617.54,Health Care,Major Pharmaceuticals,Small Cap,,24.14,,,,,,,,,,
120,AKER,Akers Biosciences Inc.,5998987.65,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,Micro Cap,0.9974321314901431,3.03,,,,,,,,,,
121,AKRX,"Akorn, Inc.",170296873.2,Health Care,Major Pharmaceuticals,Micro Cap,0.8622151076359625,1.28,-0.5575221375863644,-0.8948184873393593,0.47640859619227505,-0.4149021945806354,0.03066299963971142,0.4703492903725923,0.8428144814306542,0.20143883041106192,0.8319603906231037,2.3910616206816266
